listing_id,room_type,property_type,neighbourhood_name,accommodates,bedrooms,beds,bathrooms,listing_price,minimum_nights,maximum_nights,instant_bookable,host_is_superhost,host_listing_count,total_reviews_before_cutoff,unique_reviewers_before_cutoff,avg_comment_len_before_cutoff,max_comment_len_before_cutoff,days_since_last_review,available_days_last_90d,available_rate_last_90d,avg_minimum_nights_calendar_last_90d,avg_maximum_nights_calendar_last_90d,available_days_last_30d,available_rate_last_30d,avg_minimum_nights_calendar_last_30d,avg_maximum_nights_calendar_last_30d,future_calendar_days_observed_30d,future_available_days_30d,future_available_rate_30d,high_demand_proxy,cutoff_date,dataset_version
179528,Entire home/apt,Entire rental unit,De Pijp - Rivierenbuurt,3,2.0,2.0,1.5,301.0,7,60,False,True,2,37.0,37.0,402.5135135135135,1087.0,410.0,19,0.2111111111111111,7.633333333333333,1125.0,0,0.0,7.0,1125.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
188347,Private room,Private room in condo,De Baarsjes - Oud-West,2,1.0,1.0,1.0,68.0,3,28,False,False,1,478.0,476.0,295.3619246861925,1469.0,342.0,0,0.0,3.0,1125.0,0,0.0,3.0,1125.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
189754,Entire home/apt,Entire loft,Centrum-West,4,1.0,3.0,1.0,231.0,2,1125,True,True,1,427.0,426.0,221.47540983606558,1713.0,335.0,57,0.6333333333333333,2.0,1125.0,20,0.6666666666666666,2.0,1125.0,30,27,0.9,0,2026-08-11,v1_audit_cleaned
190943,Entire home/apt,Entire rental unit,Zuid,3,2.0,,1.0,,3,28,False,False,1,14.0,14.0,202.14285714285714,386.0,765.0,0,0.0,3.0,28.0,0,0.0,3.0,28.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
219276,Private room,Private room in guest suite,Centrum-West,2,1.0,,1.0,,2,760,False,False,1,16.0,16.0,129.875,262.0,1388.0,90,1.0,2.0,760.0,30,1.0,2.0,760.0,30,30,1.0,0,2026-08-11,v1_audit_cleaned
193038,Private room,Private room in loft,Centrum-Oost,2,1.0,1.0,1.0,158.0,3,31,True,True,1,740.0,729.0,353.78648648648647,1950.0,345.0,90,1.0,3.0,1125.0,30,1.0,3.0,1125.0,30,30,1.0,0,2026-08-11,v1_audit_cleaned
212050,Entire home/apt,Entire rental unit,De Baarsjes - Oud-West,4,2.0,,1.5,,4,365,False,False,1,23.0,23.0,338.30434782608694,1093.0,735.0,0,0.0,4.0,365.0,0,0.0,4.0,365.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
213371,Entire home/apt,Entire rental unit,De Pijp - Rivierenbuurt,4,3.0,,1.5,,4,65,False,False,1,23.0,23.0,362.0869565217391,947.0,1151.0,0,0.0,4.0,65.0,0,0.0,4.0,65.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
214531,Private room,Private room in rental unit,Centrum-West,3,1.0,,1.0,,3,50,False,False,1,169.0,169.0,316.905325443787,1313.0,1507.0,0,0.0,3.0,50.0,0,0.0,3.0,50.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
245927,Entire home/apt,Entire guest suite,Centrum-West,4,2.0,3.0,1.5,635.0,2,180,True,,1,274.0,274.0,247.81386861313868,1059.0,348.0,90,1.0,2.0,180.0,30,1.0,2.0,180.0,30,30,1.0,0,2026-08-11,v1_audit_cleaned
247805,Private room,Private room in rental unit,De Baarsjes - Oud-West,2,1.0,1.0,1.5,117.0,2,365,False,True,1,563.0,559.0,323.8223801065719,2026.0,343.0,0,0.0,2.0,365.0,0,0.0,2.0,365.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
252080,Entire home/apt,Entire home,Centrum-Oost,4,3.0,,3.5,,4,14,False,False,1,29.0,29.0,408.13793103448273,2086.0,365.0,0,0.0,4.0,14.0,0,0.0,4.0,14.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
254104,Private room,Private room in bed and breakfast,Centrum-Oost,2,1.0,1.0,1.0,185.0,2,31,False,False,3,86.0,86.0,332.3953488372093,2092.0,339.0,46,0.5111111111111111,2.0,31.0,0,0.0,2.0,31.0,30,23,0.7666666666666667,0,2026-08-11,v1_audit_cleaned
1196088,Entire home/apt,Entire rental unit,Oud-Noord,4,2.0,3.0,1.0,178.0,2,14,False,True,1,625.0,624.0,197.5968,1256.0,339.0,25,0.2777777777777778,2.0,1125.0,0,0.0,2.0,1125.0,30,0,0.0,1,2026-08-11,v1_audit_cleaned
